id,sort_order,title_key,hint_key,complete_type,complete_param,enabled,require_flag,optional,notes
q_approach,1,quest.approach.title,quest.approach.hint,near_door,,1,,0,短引导
q_enter_dock,2,quest.enter_dock.title,quest.enter_dock.hint,enter_location,dock,1,,0,
q_dock_work,3,quest.dock_work.title,quest.dock_work.hint,run_action,dock_work,1,,0,
q_enter_home,4,quest.enter_home.title,quest.enter_home.hint,enter_location,home,1,,0,
q_home_settle,5,quest.home_settle.title,quest.home_settle.hint,run_action,home_organize|home_plan|home_rest,1,,0,引导结束
q_main_pulse,6,quest.main_pulse.title,quest.main_pulse.hint,run_action,co_meet_su|co_meet_son|co_eavesdrop|dock_chat|dock_watch_manifest|co_pass_rumor|co_work|dock_work,1,,1,主线：摸清局势（可选）
q_day5,7,quest.day5.title,quest.day5.hint,reach_day,5,1,,1,线索窗：升职被顶/手帕
q_day7,8,quest.day7.title,quest.day7.hint,flag_set,route_focus_a|route_focus_b|route_focus_c,1,,1,可选站队；可推迟
q_b_wedge,9,quest.b_wedge.title,quest.b_wedge.hint,run_action,co_pass_rumor|co_meet_son|co_frame_finance|home_guide_su|home_talk_su|co_flatter_boss,1,route_focus_b,1,B线加深裂缝
q_b_clash,10,quest.b_clash.title,quest.b_clash.hint,flag_set,ending_route_b_ready,1,route_focus_b,1,公开对立→结局B
q_new_path,11,quest.new_path.title,quest.new_path.hint,enter_location,rival|exchange,1,route_focus_a|route_focus_c,1,A/C 踏足新地点
q_path_act,12,quest.path_act.title,quest.path_act.hint,run_action_prefix,rival_|ex_,1,route_focus_a|route_focus_c,1,A/C 新地点行动
q_a_strike,13,quest.a_strike.title,quest.a_strike.hint,flag_set,ending_route_a_ready,1,route_focus_a,1,截胡→结局A
q_c_short,14,quest.c_short.title,quest.c_short.hint,flag_set,ending_route_c_ready,1,route_focus_c,1,做空→结局C
q_day12,15,quest.day12.title,quest.day12.hint,reach_day,12,0,,1,完整Demo备用
q_deepen,16,quest.deepen.title,quest.deepen.hint,run_action,co_flatter_boss|co_boss_task|co_take_blame|dock_meet_contact|home_talk_su|home_guide_su|rival_plot_poach|ex_buy|ex_short,0,,1,
q_day20,17,quest.day20.title,quest.day20.hint,reach_day,20,0,,1,
q_finale,18,quest.finale.title,quest.finale.hint,reach_day,28,0,,1,
