key,text
actions.tea_gossip.description,花小钱听消息
actions.tea_gossip.name,听茶客闲聊
actions.tea_meet_broker.description,花钱买一条宏远内线线索
actions.tea_meet_broker.name,见中间人
flags.tea_house_known.description,知道街边茶楼
hotspots.tea_backroom.name,后厢房
hotspots.tea_corner.name,靠窗雅座
locations.tea_house.description,打听码头八卦、接触中间人
locations.tea_house.name,街边茶楼
npcs.tea_broker.initial_relation_to_player,中立
npcs.tea_broker.motive,赚钱
npcs.tea_broker.name,茶楼中间人
npcs.tea_broker.personality,圆滑嘴碎
npcs.tea_broker.role,情报贩子
